clientid,clientsecret,PickupIATA,Pickup,PZip,Pcountry,Pcity,plat,plong,DropIATA,Daddress,Dzip,Dcountry,Dcity,dLat,dlong
pincode,dGVzdF9jbGllbnQ=,HEL,Helsinki-Vantaa Airport,,FI,Helsinki,60.31722,24.96333,,Mikonkatu  23,100,FI,Helsinki,60.1724394,24.9453355
uktest,dGVzdF9jbGllbnQ=,VCP,Viracopos International Airport,,BR,Sao Paulo,-23.00738,-47.13452,,Presidente Prudente - São Paulo  Brazil,,BR,,-22.1373112,-51.3889736
pincode,dGVzdF9jbGllbnQ=,DEL,Indira Gandhi International Airport,,IN,Delhi,28.5665,77.10309,,The Oberoi  New Delhi  Doctor Zakir Hussain Marg  Delhi Golf Club  Gol,110003,IN,New Delhi,28.5962928,77.2396423
uktest,dGVzdF9jbGllbnQ=,LED,Pulkovo Airport,,RU,St Petersburg,59.80029,30.2625,,Admiralty Embankment  1 1,190000,RU,Sankt-Peterburg,59.9397062,30.3093545
pincode,dGVzdF9jbGllbnQ=,LED,Pulkovo Airport,,RU,St Petersburg,59.80029,30.2625,,Admiralty Embankment  1 1,190000,RU,Sankt-Peterburg,59.9397062,30.3093545
uktest,dGVzdF9jbGllbnQ=,SNN,Shannon Airport,,IE,Shannon,52.70198,-8.92482,,Henry St  22,V94 EY2P,IE,Limerick,52.6631293,-8.629193
pincode,dGVzdF9jbGllbnQ=,,Henry St  22,V94 EY2P,IE,Limerick,52.6631293,-8.629193,SNN,Shannon Airport,V94 EY2P,IE,Shannon,52.70198,-8.92482
uktest,dGVzdF9jbGllbnQ=,MYR,Myrtle Beach International Airport,,US,Myrtle Beach,33.6824,-78.92324,,W Radio Dr  3440,29501,US,Florence,34.1860082,-79.8442897
pincode,dGVzdF9jbGllbnQ=,,embankment river Moyka  22,191186,RU,Sankt-Peterburg,59.9395496,30.3206295,,Peterburgskoye Shosse  64,196140,RU,Saint Petersburg,59.7620977,30.3566664
uktest,dGVzdF9jbGllbnQ=,,InterContinental Shanghai Pudong  Pudong  China,200088,CN,,31.229531,121.521604,,7988 Songze Avenue  Qingpu  Shanghai  China,,CN,,31.1749767,121.1952648
pincode,dGVzdF9jbGllbnQ=,RIX,Riga International Airport,,LV,Riga,56.92361,23.97111,,Elizabetes iela  55,1010,LV,R?ga,56.9548501,24.1174959
uktest,dGVzdF9jbGllbnQ=,DUS,Düsseldorf International Airport,,DE,Duesseldorf,51.28066,6.76715,,Kleine Gildewart  11,49074,DE,Osnabrück,52.277288,8.0403901
pincode,dGVzdF9jbGllbnQ=,,Grasmere Cres  6,M30 8DN,GB,Eccles,53.4914326,-2.3698113,LTN,Luton Airport,,GB,London,51.87472,-0.36833
uktest,dGVzdF9jbGllbnQ=,SNN,Shannon Airport,,IE,Shannon,52.70198,-8.92482,,Henry St  22,V94 EY2P,IE,Limerick,52.6631293,-8.629193
pincode,dGVzdF9jbGllbnQ=,,Bower St  130,2095,AU,Manly,-33.7997129,151.2918292,SYD,Sydney International Airport,,AU,Sydney,-33.94611,151.17722
uktest,dGVzdF9jbGllbnQ=,,Rue du Sentier  30-32,75002,FR,Paris,48.8701349,2.346578,CDG,Paris Charles de Gaulle Airport,,FR,Paris,49.01278,2.55
pincode,dGVzdF9jbGllbnQ=,,Old Rockaway Blvd  Jamaica  NY 11430  USA,11430,US,,40.6548154,-73.7728266,,Jackson Ave  27-45,11101,US,,40.7482794,-73.9398239
uktest,dGVzdF9jbGllbnQ=,MPL,Montpellier–Méditerranée Airport,,FR,Montpellier,43.57762,3.9586,,Domaine de Verchant  Castelnau-le-Lez  France,34170,FR,Castelnau-le-Lez,43.622389,3.923063
pincode,dGVzdF9jbGllbnQ=,,Old Rockaway Blvd  Jamaica  NY 11430  USA,11430,US,,40.6548154,-73.7728266,,Jackson Ave  27-45,11101,US,,40.7482794,-73.9398239
uktest,dGVzdF9jbGllbnQ=,,Old Rockaway Blvd  Jamaica  NY 11430  USA,11430,US,,40.6548154,-73.7728266,,Jackson Ave  27-45,11101,US,,40.7482794,-73.9398239
pincode,dGVzdF9jbGllbnQ=,,Old Rockaway Blvd  Jamaica  NY 11430  USA,11430,US,,40.6548154,-73.7728266,,Jackson Ave  27-45,11101,US,,40.7482794,-73.9398239
uktest,dGVzdF9jbGllbnQ=,,JFK CARGO AREA BUILDING 73  Jamaica  NY  USA,11430,US,,40.6537705,-73.7753006,,Jackson Ave  27-45,11101,US,,40.7482794,-73.9398239
pincode,dGVzdF9jbGllbnQ=,,JFK CARGO AREA BUILDING 73  Jamaica  NY  USA,11430,US,,40.6537705,-73.7753006,,Jackson Ave  27-45,11101,US,,40.7482794,-73.9398239
uktest,dGVzdF9jbGllbnQ=,MYR,Myrtle Beach International Airport,,US,Myrtle Beach,33.6824,-78.92324,,Westpark Drive  150,29501,US,Florence,34.1853317,-79.8446524
pincode,dGVzdF9jbGllbnQ=,MYR,Myrtle Beach International Airport,,US,Myrtle Beach,33.6824,-78.92324,,Westpark Drive  150,29501,US,Florence,34.1853317,-79.8446524
uktest,dGVzdF9jbGllbnQ=,PRG,Prague Václav Havel Airport,,CZ,Prague,50.10083,14.26,,Svobodova  1961/1,128 00,CZ,,50.0681799,14.4182736
pincode,dGVzdF9jbGllbnQ=,,Dunraven Arms Hotel  Main Street  Blackabbey  Adare  County Limerick ,,IE,Adare,52.5651271,-8.7868886,,Henry St  22,V94 EY2P,IE,Limerick,52.6631293,-8.629193
uktest,dGVzdF9jbGllbnQ=,PVG,Shanghai Pudong International Airport,,CN,Shanghai,31.14338,121.80521,,Zhongyuan Rd  1,226000,CN,Nantong Shi,31.998943,120.835499
pincode,dGVzdF9jbGllbnQ=,YUL,Montréal-Pierre Elliott Trudeau International Airport,,CA,Montreal,45.46106,-73.75019,,Phillips Square  1240,H3B 3H4,CA,Montreal,45.503415,-73.569022
uktest,dGVzdF9jbGllbnQ=,EIN,Eindhoven Airport,,NL,Eindhoven,51.45014,5.37453,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
pincode,dGVzdF9jbGllbnQ=,,Locht  117,5504 RM,NL,Veldhoven,51.3938029,5.3881168,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
uktest,dGVzdF9jbGllbnQ=,SFO,San Francisco International Airport,,US,San Francisco,37.61882,-122.3758,,3rd St  181,94103,US,San Francisco,37.785238,-122.4005434
pincode,dGVzdF9jbGllbnQ=,SAW,Sabiha Gökçen International Airport,,TR,Istanbul,40.89861,29.30917,,Yalova  Yalova Province  Turkey,,TR,Yalova,40.654895,29.284186
uktest,dGVzdF9jbGllbnQ=,YUL,Montréal-Pierre Elliott Trudeau International Airport,,CA,Montreal,45.46106,-73.75019,,Phillips Square  1240,H3B 3H4,CA,Montreal,45.503415,-73.569022
pincode,dGVzdF9jbGllbnQ=,,34170 Castelnau-le-Lez  France,34170,FR,Castelnau-le-Lez,43.6377577,3.9164585,MRS,Marseille Provence Airport,,FR,Marseille,43.43556,5.21361
uktest,dGVzdF9jbGllbnQ=,,Wythe Ave  80,11249,US,,40.7218887,-73.9580971,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874
pincode,dGVzdF9jbGllbnQ=,SAW,Sabiha Gökçen International Airport,,TR,Istanbul,40.89861,29.30917,,Yalova  77200 Yalova/Yalova Province  Turkey,,TR,Yalova,40.654895,29.284186
uktest,dGVzdF9jbGllbnQ=,ZRH,Zurich Airport,,CH,Zurich,47.45264,8.5605,,Quai Turrettini  1,1201,CH,Genève,46.2056555,6.140652
pincode,dGVzdF9jbGllbnQ=,YUL,Montréal-Pierre Elliott Trudeau International Airport,,CA,Montreal,45.46106,-73.75019,,Phillips Square  1240,H3B 3H4,CA,Montreal,45.503415,-73.569022
uktest,dGVzdF9jbGllbnQ=,GDN,Gda?sk Lech Wa??sa Airport,,PL,Gdansk,54.37808,18.46823,,Marii Sk?odowskiej-Curie  75c,87-100,PL,Toru?,53.0373221,18.6677277
pincode,dGVzdF9jbGllbnQ=,,Marii Sk?odowskiej-Curie  75c,87-100,PL,Toru?,53.0373221,18.6677277,GDN,Gda?sk Lech Wa??sa Airport,87-100,PL,Gdansk,54.37808,18.46823
uktest,dGVzdF9jbGllbnQ=,GDN,Gda?sk Lech Wa??sa Airport,87-100,PL,Gdansk,54.37808,18.46823,DTM,Flughafenring  2,44319,DE,Dortmund,51.517397,7.6122627
pincode,dGVzdF9jbGllbnQ=,YUL,Montréal-Pierre Elliott Trudeau International Airport,,CA,Montreal,45.46106,-73.75019,,Phillips Square  1240,H3B 3H4,CA,Montreal,45.503415,-73.569022
uktest,dGVzdF9jbGllbnQ=,,Aleja Niepodleg?o?ci  766,81-868,PL,Sopot,54.440804,18.5595429,,Marii Sk?odowskiej-Curie  75c,87-100,PL,Toru?,53.0373221,18.6677277
pincode,dGVzdF9jbGllbnQ=,,Marii Sk?odowskiej-Curie  75c,87-100,PL,Toru?,53.0373221,18.6677277,,Aleja Niepodleg?o?ci  766,81-868,PL,Sopot,54.440804,18.5595429
uktest,dGVzdF9jbGllbnQ=,,W 38th St  63,10018,US,New York,40.7524201,-73.9851958,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874
pincode,dGVzdF9jbGllbnQ=,,Holt  Wrexham LL13 9SH  UK,LL13 9SH,GB,Holt,53.0624091,-2.9259674,MAN,Manchester Airport,,GB,Manchester,53.35374,-2.27495
uktest,dGVzdF9jbGllbnQ=,DUR,Durban King Shaka King Shaka Intl,,ZA,Durban,-29.61667,31.11667,,The Capital Pearls  Umhlanga  South Africa,4320,ZA,Umhlanga,-29.7250874,31.0866559
pincode,dGVzdF9jbGllbnQ=,,Borkumkade  15,9979 XX,NL,Eemshaven,53.4593413,6.8203106,,Haddingestraat  6,9711 KB,NL,Groningen,53.2167889,6.5659537
uktest,dGVzdF9jbGllbnQ=,,Borkumkade  15,9979 XX,NL,Eemshaven,53.4593413,6.8203106,,Haddingestraat  6,9711 KB,NL,Groningen,53.2167889,6.5659537
pincode,dGVzdF9jbGllbnQ=,,Borkumkade  15,9979 XX,NL,Eemshaven,53.4593413,6.8203106,,Haddingestraat  6,9711 KB,NL,Groningen,53.2167889,6.5659537
uktest,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Zum Nordkai  12,26725,DE,Emden,53.34943,7.21286
pincode,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Zum Nordkai  12,26725,DE,Emden,53.34943,7.21286
uktest,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Zum Nordkai  12,26725,DE,Emden,53.34943,7.21286
pincode,dGVzdF9jbGllbnQ=,,Fallowfields  10,NN6 7GA,GB,Crick,52.3493007,-1.133687,,Poundland Head Office Willenhall  Wellman's Road  Willenhall  Wednesbu,WV13 2QT,GB,Willenhall,52.5805434,-2.0394927
uktest,dGVzdF9jbGllbnQ=,STR,Stuttgart Airport,,DE,Stuttgart,48.69034,9.19521,,Zuffenhausen  Stuttgart  Germany,,DE,Stuttgart,48.8332507,9.1688055
pincode,dGVzdF9jbGllbnQ=,CFN,Donegal,,IE,Donegal,55.0441667,-8.3411112,,Gaoth Dobhair  Co. Donegal  Ireland,,IE,Gweedore,55.0498014,-8.2287039
uktest,dGVzdF9jbGllbnQ=,,Gaoth Dobhair  Co. Donegal  Ireland,,IE,Gweedore,55.0498014,-8.2287039,CFN,Donegal,,IE,Donegal,55.0441667,-8.3411112
pincode,dGVzdF9jbGllbnQ=,,Hingham  Norwich NR9 4LF  UK,NR9 4LF,GB,Hingham,52.5796986,0.9986162,LGW,London Gatwick Airport,,GB,London,51.15609,-0.17818
uktest,dGVzdF9jbGllbnQ=,,Zum Zungenkai  26725 Emden  Germany,26725,DE,Emden,53.3573407,7.2103986,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
pincode,dGVzdF9jbGllbnQ=,,Zum Zungenkai  26725 Emden  Germany,26725,DE,Emden,53.3573407,7.2103986,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
uktest,dGVzdF9jbGllbnQ=,STL,St Louis Lambert Intl Apt,,US,St Louis,38.7486112,-90.37,,N Bishop Ave  2201,65401,US,Rolla,37.9645494,-91.7665887
pincode,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358
uktest,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358
pincode,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
uktest,dGVzdF9jbGllbnQ=,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358
pincode,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358
uktest,dGVzdF9jbGllbnQ=,BOS,Logan International Airport,,US,Boston,42.36514,-71.01777,,Park Plaza  50,2116,US,Boston,42.3509266,-71.0697916
pincode,dGVzdF9jbGllbnQ=,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358
uktest,dGVzdF9jbGllbnQ=,BOS,Logan International Airport,,US,Boston,42.36514,-71.01777,,Park Plaza  50,2116,US,Boston,42.3509266,-71.0697916
pincode,dGVzdF9jbGllbnQ=,IAD,Washington Dulles International Airport,,US,Washington,38.94877,-77.4491,,Mandarin Oriental  Washington D.C.  Washington  DC  USA,20024,US,Washington,38.8836112,-77.0302472
uktest,dGVzdF9jbGllbnQ=,BOS,Logan International Airport,,US,Boston,42.36514,-71.01777,,Park Plaza  50,2116,US,Boston,42.3509266,-71.0697916
pincode,dGVzdF9jbGllbnQ=,XRY,Jerez Airport,,ES,Jerez,36.74462,-6.06011,,N-340  11380,11380,ES,Tarifa,36.0558699,-5.6566739
uktest,dGVzdF9jbGllbnQ=,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874,,Merritt 7  101,6851,US,Norwalk,41.1512607,-73.4256047
pincode,dGVzdF9jbGllbnQ=,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874,,Norwalk  CT  USA,6851,US,Norwalk,41.117744,-73.4081575
uktest,dGVzdF9jbGllbnQ=,MAN,Manchester Airport,,GB,Manchester,53.35374,-2.27495,,Lincoln  UK,,GB,Lincoln,53.230688,-0.540579
pincode,dGVzdF9jbGllbnQ=,HYD,Rajiv Gandhi International Airport,,IN,Hyderabad,17.23132,78.42986,,Novotel Hyderabad Convention Centre  Izzathnagar  HITEC City  Hyderaba,500081,IN,Hyderabad,17.4728353,78.3727987
uktest,dGVzdF9jbGllbnQ=,FRA,Frankfurt Airport,,DE,Frankfurt,50.0406,8.55603,,Im Tiefen See  45,64293,DE,Darmstadt,49.8852894,8.6430317
pincode,dGVzdF9jbGllbnQ=,GLA,Glasgow Airport,,GB,Glasgow,55.87194,-4.43306,,Stirling FK9 4NF  UK,FK9 4NF,GB,Stirling,56.1422479,-3.9177009
uktest,dGVzdF9jbGllbnQ=,,Stirling FK9 4NF  UK,FK9 4NF,GB,Stirling,56.1422479,-3.9177009,GLA,Glasgow Airport,FK9 4NF,GB,Glasgow,55.87194,-4.43306
pincode,dGVzdF9jbGllbnQ=,,Stirling FK9 4NF  UK,FK9 4NF,GB,Stirling,56.1422479,-3.9177009,EDI,Edinburgh Airport,FK9 4NF,GB,Edinburgh,55.95,-3.3725
uktest,dGVzdF9jbGllbnQ=,,Stirling FK9 4NF  UK,FK9 4NF,GB,Stirling,56.1422479,-3.9177009,EDI,Edinburgh Airport,FK9 4NF,GB,Edinburgh,55.95,-3.3725
pincode,dGVzdF9jbGllbnQ=,,Stirling FK9 4NF  UK,FK9 4NF,GB,Stirling,56.1422479,-3.9177009,,University of Stirling  Stirling FK9 4LA  UK,FK9 4LA,GB,Stirling,56.1454119,-3.9205713
uktest,dGVzdF9jbGllbnQ=,LHR,London Heathrow,,GB,London,51.47294,-0.45061,,Gatwick Airport (LGW)  South Terminal  Perimeter Road East  Horley  Ga,RH6 0NP,GB,Horley,51.156117,-0.163
pincode,dGVzdF9jbGllbnQ=,LHR,London Heathrow,,GB,London,51.47294,-0.45061,LGW,London Gatwick Airport,,GB,London,51.15609,-0.17818
uktest,dGVzdF9jbGllbnQ=,DTW,Detroit Metropolitan Wayne County,,US,Detroit,42.2125001,-83.3533334,,Northwood Dr  1707,48084,US,Troy,42.550195,-83.164398
pincode,dGVzdF9jbGllbnQ=,,Vision Park  Chivers Way  Histon  Cambridge  UK,CB24 9ZR,GB,Histon,52.2448475,0.107746,STN,Stansted Airport,,GB,London,51.885,0.235
uktest,dGVzdF9jbGllbnQ=,,Histon  Cambridge CB24 9ZR  UK,CB24 9ZR,GB,Histon,52.2447933,0.1079294,STN,Stansted Airport,,GB,London,51.885,0.235
pincode,dGVzdF9jbGllbnQ=,,Northchurch Rd  183,,GB,London,51.5428455,-0.0907558,LCY,London City Airport,,GB,London,51.50528,0.05528
uktest,dGVzdF9jbGllbnQ=,,Northchurch Rd  183,,GB,London,51.5428455,-0.0907558,LCY,London City Airport,,GB,London,51.50528,0.05528
pincode,dGVzdF9jbGllbnQ=,,Chemin de l'Olivet  136-180,6210,FR,Mandelieu-la-Napoule,43.5366183,6.9426428,,Boulevard de la Croisette  67,6400,FR,Cannes,43.5484693,7.0296777
uktest,dGVzdF9jbGllbnQ=,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874,,Broadway  1567,10036,US,New York,40.7592957,-73.9855727
pincode,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
uktest,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,GRQ,Groningen Airport Eelde,,NL,Groningen,53.11972,6.57944
pincode,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,GRQ,Groningen Airport Eelde,,NL,Groningen,53.11972,6.57944
uktest,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,AMS,Amsterdam Airport Schiphol,,NL,Amsterdam,52.3103,4.76028
pincode,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667
uktest,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,HAM,Hamburg Airport,,DE,Hamburg,53.63039,9.98823
pincode,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,DUS,Flughafenstraße  105,40474,DE,Düsseldorf,51.2876146,6.7667912
uktest,dGVzdF9jbGllbnQ=,,Whiteheath Avenue  Ruislip HA4 7PR  UK,HA4 7PR,GB,Ruislip,51.5794282,-0.4405061,,Center Parcs Woburn Forest  Millbrook Rd  Bedford  UK,MK45 2HZ,GB,Bedford,52.0277097,-0.5325043
pincode,dGVzdF9jbGllbnQ=,BOS,Logan International Airport,,US,Boston,42.36514,-71.01777,,Park Plaza  Boston  MA  USA,2116,US,Boston,42.3517525,-71.0679696
uktest,dGVzdF9jbGllbnQ=,BOS,Logan International Airport,,US,Boston,42.36514,-71.01777,,Park Plaza  Boston  MA  USA,2116,US,Boston,42.3517525,-71.0679696
pincode,dGVzdF9jbGllbnQ=,,Emden shipyard and dock GmbH  Zum Zungenkai  Emden  Germany,26725,DE,Emden,53.3540813,7.2019358,BRE,Bremen Airport,,DE,Bremen,53.0475,8.78667
uktest,dGVzdF9jbGllbnQ=,SAN,San Diego International Airport,,US,San Diego,32.73235,-117.19744,,Encinitas Blvd  85,92024,US,Encinitas,33.0485969,-117.2921146
pincode,dGVzdF9jbGllbnQ=,SAN,San Diego International Airport,,US,San Diego,32.73235,-117.19744,,Encinitas Blvd  85,92024,US,Encinitas,33.0485969,-117.2921146
uktest,dGVzdF9jbGllbnQ=,SAN,San Diego International Airport,,US,San Diego,32.73235,-117.19744,,Encinitas Blvd  85,92024,US,Encinitas,33.0485969,-117.2921146
pincode,dGVzdF9jbGllbnQ=,LAX,Los Angeles International Airport,,US,Los Angeles,33.94251,-118.40897,,Encinitas Boulevard  Encinitas  CA  USA,92024,US,Encinitas,33.045563,-117.2683362
uktest,dGVzdF9jbGllbnQ=,MXP,Milano Malpensa Airport,,IT,Milan,45.62754,8.71508,,Via Melchiorre Gioia  6,20124,IT,Milano,45.4814923,9.192023
pincode,dGVzdF9jbGllbnQ=,,E 77th St  25,10075,US,New York,40.7752711,-73.9633994,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874
uktest,dGVzdF9jbGllbnQ=,,E 77th St  25,10075,US,New York,40.7752711,-73.9633994,JFK,John F Kennedy International Airport,,US,New York,40.63983,-73.77874
pincode,dGVzdF9jbGllbnQ=,KUL,Sepang/KL International Airport,,MY,Kuala Lumpur,2.74558,101.70992,,Sheraton Imperial Kuala Lumpur Hotel  Jalan Sultan Ismail  Kuala Lumpu,50250,MY,Kuala Lumpur,3.1591482,101.69981
uktest,dGVzdF9jbGllbnQ=,KUL,Sepang/KL International Airport,,MY,Kuala Lumpur,2.74558,101.70992,,Kuala Lumpur Sentral Railway Station,50250,MY,Kuala Lumpur,3.134573,101.686373
pincode,dGVzdF9jbGllbnQ=,KUL,Sepang/KL International Airport,,MY,Kuala Lumpur,2.74558,101.70992,,Mandarin Oriental Kuala Lumpur  Kuala Lumpur City Centre  Kuala Lumpur,50088,MY,Kuala Lumpur,3.1561671,101.7119496
uktest,dGVzdF9jbGllbnQ=,LGW,London Gatwick Airport,,GB,London,51.15609,-0.17818,,Dallington Street  London EC1V 0LN  UK,EC1V 0LN,GB,London,51.5245337,-0.1006238
pincode,dGVzdF9jbGllbnQ=,,Dallington Street  London EC1V 0LN  UK,EC1V 0LN,GB,London,51.5245337,-0.1006238,LHR,London Heathrow,EC1V 0LN,GB,London,51.47294,-0.45061
uktest,dGVzdF9jbGllbnQ=,SGN,Tan Son Nhat International Airport,,VN,Ho Chi Minh City,10.8188,106.65186,,???ng S??ng Nguy?t Anh  3-5,71000,VN,,10.7725654,106.6899727
